SMILES;Tb
CCC(O)CCC(F)(F)F;413.8
CCC(CC)ON(=O)=O;413.15
Clc1ccc(Cl)c(c1)C(=O)O;574.15
NC(C)Cc1ccccc1;476.15
COc1ccc(cc1)NC(=O)C;608.15
ClCCN(C)CCCl;360.15
CCOC(=O)N;458.15
CN(C)CN(C)C;358.2
Oc1ccc2c(CCC3C2CCC4(C)C(=O)CCC34)c1;427.15
c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23;797.15
O=C(C)Nc1ccc2c(c1)Cc3ccccc23;576.15
CN1CCCC1c2cnccc2;520.15
CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2cc(O)cc(C)c2O1;498.15
Oc1cccc(c1)C(O)C(N)C;491.15
O=NN(CC)CC;450.05
O=C(N)c1ccccc1;563.15
O=N(=O)OCC(CON(=O)=O)ON(=O)=O;523.15
CC(C)OP(=O)(F)OC(C)C;456.15
ClC(Cl)(Cl)Cl;349.95
c1ccc2cc3c(ccc4ccccc34)cc2c1;710.75
OCC(O)CO;563.15
CCCCCCCCCCCCCCCC(=O)O;612.15
CCCCCCCCCCCCCCCCCC(=O)O;634.2
NN(C)C;337.05
ClC(Cl)(Cl)C(O)(C)C;440.15
OCC(O)C;460.75
O=C1OCC1;435.15
ON=C(C)C(=O)C;458.65
CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C;732.15
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl;596.55
CCN(CC)C(=O)c1cnccc1;571.15
Oc1ccc(Cl)c(C)c1;508.15
O=NN1CCOCC1;498.15
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC;580.65
Nc1ccc(cc1)N=Nc2ccccc2;639.15
OCCc1ccccc1;491.35
OCCS;431.15
CCOCC;307.65
CCCCCC=CCC=CCCCCCCCC(=O)O;638.35
NNC;360.65
O=C(N)C;495.15
S=C1NC=CN1C;553.15
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl;603.15
CC1=CC(=O)N(c2ccccc2)N1C;592.15
O=C(O)CCCCC1SSCC1;435.65
CCOS(=O)(=O)C;486.4
Nc1ccccc1;457.25
COP(=O)(OC)OC=C(Cl)Cl;507.25
O=NN(C)C;427.15
CNC(=O)Oc1cccc2ccccc12;588.15
COC(=O)C1=CCCN(C)C1;482.15
NCCc1ccccc1;470.65
O=C(N)Nc1ccccc1;511.15
OCC;351.35
O=CO;374.15
O=C(O)C;391.05
CCOS(=O)(=O)OCC;481.15
O=C(N)c1ccccc1O;454.65
O=C(O)c1ccccc1;522.35
O=CCCCCC;404.15
COS(=O)(=O)C;475.65
O=Cc1cccc2ccccc12;565.15
OC;337.75
NOC;322.65
OC(C)C;355.45
O=C(C)C;329.15
ClC(Cl)Cl;334.25
O=S(C)C;462.15
O=S(=O)(C)C;511.15
O=CN(C)C;426.15
O=C1C=C(N2CC2)C(=O)C(N3CC3)=C1N4CC4;630.65
O=N(=O)c1ccc(F)c(c1)N(=O)=O;569.15
OCCC;370.35
OCCCC;390.85
OCCCCC;411.05
c1ccccc1;353.15
ClC(Cl)(Cl)C;347.15
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl;619.15
Oc1ccc2C(=O)c3ccccc3C(=O)c2c1O;703.15
Clc1ccc(cc1)C(C(Cl)Cl)c2ccc(Cl)cc2;623.15
Clc1ccc(cc1)C(=C(Cl)Cl)c2ccc(Cl)cc2;609.15
BrC;276.65
ClC;249.15
IC;315.65
NC;266.85
SC;279.05
BrCBr;370.15
BrCC;311.65
ClCBr;341.15
CCC;231.05
C#CC;249.95
ClCC;285.45
C=CCl;259.85
C=CF;201.15
ICC;345.65
NCC;289.65
N#CC;354.75
O=CC;293.25
SCC;308.25
ClCCl;313.15
FCF;221.55
ICI;455.15
O=CN;493.15
CSC;310.45
C1CC1;240.35
O1CC1;283.75
BrC(Br)Br;422.25
BrC(C)C;332.65
ClC(Cl)Br;363.15
CC(C)C;261.45
ClC(C)C;308.85
IC(C)C;362.65
NC(C)C;304.85
SC(C)C;325.75
ClC(Cl)C;330.55
C=C(Cl)Cl;304.75
O=C(Cl)C;325
FC(F)C;248.25
C=C(F)F;187.45
ClC(Cl)F;282.05
O=C(Cl)Cl;281.15
ClC(F)F;232.45
FC(F)F;191.05
IC(I)I;491.15
CN(C)C;275.95
O=N(=O)C;374.25
Cl[Si](Cl)C;314.15
CC1NC1;340.15
CC1OC1;308.15
BrC(Br)(F)F;298.15
ClC(Cl)(Cl)Br;378.15
BrC(F)(F)F;215.35
NC(C)(C)C;317.15
OC(C)(C)C;355.55
SC(C)(C)C;337.45
ClC(F)(F)C;263.45
ClC(Cl)(Cl)F;296.85
ClC(Cl)(F)F;243.35
ClC(F)(F)F;191.75
FC(F)(F)F;145.15
C[Si](C)(C)C;299.75
Cl[Si](C)(C)C;330
Cl[Si](Cl)(C)C;343.45
Cl[Si](Cl)(Cl)C;338.75
BrCC(Cl)(Cl)Br;468.15
BrC(Br)C(F)F;365.65
CCC(C)(C)C;322.85
OCC(C)(C)C;386.65
CCC(O)(C)C;375.55
N#CC(O)(C)C;444.15
O=CC(Cl)(Cl)Cl;370.95
ClCC(F)(F)F;279.25
OCC(F)(F)F;347.15
C=C[Si](Cl)(Cl)Cl;364.65
O=C(C)C(C)(C)C;379.25
O=C(O)C(C)(C)C;437.15
O=C(O)C(Cl)(Cl)C;460.65
OC(C)C(Cl)(Cl)Cl;436.15
ClC(Cl)C(Cl)(Cl)Cl;432.95
O=C(Cl)C(Cl)(Cl)Cl;391.05
O=C(O)C(Cl)(Cl)Cl;469.65
O=C(O)C(Cl)(F)F;395.15
O=C(O)C(F)(F)F;346.15
O=N(=O)C(Cl)(Cl)Cl;385.15
OC(C)(C)C(O)(C)C;447.55
ClC(Cl)(F)C(Cl)(Cl)F;366.15
ClC(F)(F)C(Cl)(F)F;276.95
ClC(F)(F)C(F)(F)F;235.25
FC(F)(F)C(F)(F)F;195.05
ClC(F)(F)C(Cl)(F)C(Cl)(F)F;346.85
FC(F)(F)C(F)(F)C(F)(F)F;236.55
O=C1CC2CCC1(C)C2(C)C;477.15
BrC1C(=O)C2(C)CCC1C2(C)C;547.15
O=CC(Cl)(Cl)C(Cl)C;437.15
OCC(F)(F)C(F)F;382.65
COC(F)(F)C(Cl)Cl;378.15
ClC1C=CC2C1C3(Cl)C(Cl)=C(Cl)C2(Cl)C3(Cl)Cl;583.15
O=C(C)OC1CC2CCC1(C)C2(C)C;494.15
ClC(c1ccccc1)(c2ccccc2)c3ccccc3;583.15
OC(c1ccccc1)(c2ccccc2)c3ccccc3;653.15
CCOC(=O)C(CC)(CC)C(=O)OCC;503.15
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl;512.15
C1=CC2C3C=CC(C3)C2C1;443.15
CCC(O)(C)CC;395.55
C#CC(O)(C)CC;393.65
COC(C)(C)OC;356.15
C=CS(=O)(=O)C=C;507.65
CCOP(=O)(C#N)N(C)C;513.15
CCOC(=O)C1OC1(C)c2ccccc2;546.65
OCC(C)(CO)CC;498.95
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC;567.15
CCO[Si](CC)(OCC)OCC;431.65
CCOC(OCC)(OCC)OCC;432.65
CCO[Si](OCC)(OCC)OCC;441.95
CCCC(C)(CO)CO;507.15
C#CC1(O)CCCCC1;447.15
Cc1ccccc1OP(=O)(Oc2ccccc2C)Oc3ccccc3C;683.15
CCOP(=O)(CC)OCC;471.15
CCOC(C)(OCC)OCC;418.15
CCOP(=O)(OCC)OCC;488.65
O=C1C=C(C)CC(C)(C)C1;488.35
CCO[Si](C)(C)OCC;387.15
