index;SMILES;Tb
0;CCC(O)CCC(F)(F)F;413.8
1;CCC(CC)ON(=O)=O;413.15
2;Clc1ccc(Cl)c(c1)C(=O)O;574.15
5;ClCCN(C)CCCl;360.15
6;CCOC(=O)N;458.15
7;CN(C)CN(C)C;358.2
8;Oc1ccc2c(CCC3C2CCC4(C)C(=O)CCC34)c1;427.15
9;c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23;797.15
10;O=C(C)Nc1ccc2c(c1)Cc3ccccc23;576.15
11;CN1CCCC1c2cnccc2;520.15
12;CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2cc(O)cc(C)c2O1;498.15
14;O=NN(CC)CC;450.05
15;O=C(N)c1ccccc1;563.15
16;O=N(=O)OCC(CON(=O)=O)ON(=O)=O;523.15
18;ClC(Cl)(Cl)Cl;349.95
19;c1ccc2cc3c(ccc4ccccc34)cc2c1;710.75
20;OCC(O)CO;563.15
21;CCCCCCCCCCCCCCCC(=O)O;612.15
22;CCCCCCCCCCCCCCCCCC(=O)O;634.2
23;NN(C)C;337.05
24;ClC(Cl)(Cl)C(O)(C)C;440.15
25;OCC(O)C;460.75
27;ON=C(C)C(=O)C;458.65
28;CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C;732.15
30;CCN(CC)C(=O)c1cnccc1;571.15
31;Oc1ccc(Cl)c(C)c1;508.15
32;O=NN1CCOCC1;498.15
33;CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC;580.65
34;Nc1ccc(cc1)N=Nc2ccccc2;639.15
35;OCCc1ccccc1;491.35
36;OCCS;431.15
37;CCOCC;307.65
38;CCCCCC=CCC=CCCCCCCCC(=O)O;638.35
39;NNC;360.65
40;O=C(N)C;495.15
41;S=C1NC=CN1C;553.15
42;ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl;603.15
43;CC1=CC(=O)N(c2ccccc2)N1C;592.15
44;O=C(O)CCCCC1SSCC1;435.65
46;Nc1ccccc1;457.25
47;COP(=O)(OC)OC=C(Cl)Cl;507.25
48;O=NN(C)C;427.15
49;CNC(=O)Oc1cccc2ccccc12;588.15
50;COC(=O)C1=CCCN(C)C1;482.15
51;NCCc1ccccc1;470.65
52;O=C(N)Nc1ccccc1;511.15
54;O=CO;374.15
55;O=C(O)C;391.05
56;CCOS(=O)(=O)OCC;481.15
57;O=C(N)c1ccccc1O;454.65
59;O=CCCCCC;404.15
60;COS(=O)(=O)C;475.65
61;O=Cc1cccc2ccccc12;565.15
62;OC;337.75
63;NOC;322.65
65;O=C(C)C;329.15
66;ClC(Cl)Cl;334.25
67;O=S(C)C;462.15
68;O=S(=O)(C)C;511.15
69;O=CN(C)C;426.15
70;O=C1C=C(N2CC2)C(=O)C(N3CC3)=C1N4CC4;630.65
71;O=N(=O)c1ccc(F)c(c1)N(=O)=O;569.15
72;OCCC;370.35
73;OCCCC;390.85
74;OCCCCC;411.05
75;c1ccccc1;353.15
77;COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl;619.15
78;Oc1ccc2C(=O)c3ccccc3C(=O)c2c1O;703.15
80;Clc1ccc(cc1)C(=C(Cl)Cl)c2ccc(Cl)cc2;609.15
81;BrC;276.65
82;ClC;249.15
83;IC;315.65
84;NC;266.85
85;SC;279.05
86;BrCBr;370.15
87;BrCC;311.65
88;ClCBr;341.15
89;CCC;231.05
90;C#CC;249.95
91;ClCC;285.45
92;C=CCl;259.85
93;C=CF;201.15
95;NCC;289.65
96;N#CC;354.75
97;O=CC;293.25
98;SCC;308.25
99;ClCCl;313.15
100;FCF;221.55
101;ICI;455.15
102;O=CN;493.15
103;CSC;310.45
104;C1CC1;240.35
105;O1CC1;283.75
106;BrC(Br)Br;422.25
107;BrC(C)C;332.65
108;ClC(Cl)Br;363.15
109;CC(C)C;261.45
110;ClC(C)C;308.85
111;IC(C)C;362.65
112;NC(C)C;304.85
113;SC(C)C;325.75
114;ClC(Cl)C;330.55
115;C=C(Cl)Cl;304.75
116;O=C(Cl)C;325
117;FC(F)C;248.25
118;C=C(F)F;187.45
119;ClC(Cl)F;282.05
121;ClC(F)F;232.45
122;FC(F)F;191.05
123;IC(I)I;491.15
124;CN(C)C;275.95
125;O=N(=O)C;374.25
126;Cl[Si](Cl)C;314.15
127;CC1NC1;340.15
128;CC1OC1;308.15
129;BrC(Br)(F)F;298.15
130;ClC(Cl)(Cl)Br;378.15
131;BrC(F)(F)F;215.35
132;NC(C)(C)C;317.15
133;OC(C)(C)C;355.55
134;SC(C)(C)C;337.45
135;ClC(F)(F)C;263.45
136;ClC(Cl)(Cl)F;296.85
137;ClC(Cl)(F)F;243.35
138;ClC(F)(F)F;191.75
139;FC(F)(F)F;145.15
140;C[Si](C)(C)C;299.75
141;Cl[Si](C)(C)C;330
142;Cl[Si](Cl)(C)C;343.45
143;Cl[Si](Cl)(Cl)C;338.75
144;BrCC(Cl)(Cl)Br;468.15
145;BrC(Br)C(F)F;365.65
146;CCC(C)(C)C;322.85
147;OCC(C)(C)C;386.65
148;CCC(O)(C)C;375.55
149;N#CC(O)(C)C;444.15
150;O=CC(Cl)(Cl)Cl;370.95
151;ClCC(F)(F)F;279.25
152;OCC(F)(F)F;347.15
153;C=C[Si](Cl)(Cl)Cl;364.65
154;O=C(C)C(C)(C)C;379.25
155;O=C(O)C(C)(C)C;437.15
156;O=C(O)C(Cl)(Cl)C;460.65
157;OC(C)C(Cl)(Cl)Cl;436.15
158;ClC(Cl)C(Cl)(Cl)Cl;432.95
160;O=C(O)C(Cl)(Cl)Cl;469.65
161;O=C(O)C(Cl)(F)F;395.15
162;O=C(O)C(F)(F)F;346.15
163;O=N(=O)C(Cl)(Cl)Cl;385.15
164;OC(C)(C)C(O)(C)C;447.55
165;ClC(Cl)(F)C(Cl)(Cl)F;366.15
166;ClC(F)(F)C(Cl)(F)F;276.95
167;ClC(F)(F)C(F)(F)F;235.25
168;FC(F)(F)C(F)(F)F;195.05
169;ClC(F)(F)C(Cl)(F)C(Cl)(F)F;346.85
170;FC(F)(F)C(F)(F)C(F)(F)F;236.55
171;O=C1CC2CCC1(C)C2(C)C;477.15
173;O=CC(Cl)(Cl)C(Cl)C;437.15
174;OCC(F)(F)C(F)F;382.65
175;COC(F)(F)C(Cl)Cl;378.15
176;ClC1C=CC2C1C3(Cl)C(Cl)=C(Cl)C2(Cl)C3(Cl)Cl;583.15
177;O=C(C)OC1CC2CCC1(C)C2(C)C;494.15
178;ClC(c1ccccc1)(c2ccccc2)c3ccccc3;583.15
179;OC(c1ccccc1)(c2ccccc2)c3ccccc3;653.15
180;CCOC(=O)C(CC)(CC)C(=O)OCC;503.15
181;ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl;512.15
182;C1=CC2C3C=CC(C3)C2C1;443.15
183;CCC(O)(C)CC;395.55
184;C#CC(O)(C)CC;393.65
185;COC(C)(C)OC;356.15
186;C=CS(=O)(=O)C=C;507.65
187;CCOP(=O)(C#N)N(C)C;513.15
188;CCOC(=O)C1OC1(C)c2ccccc2;546.65
189;OCC(C)(CO)CC;498.95
190;CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC;567.15
191;CCO[Si](CC)(OCC)OCC;431.65
192;CCOC(OCC)(OCC)OCC;432.65
194;CCCC(C)(CO)CO;507.15
195;C#CC1(O)CCCCC1;447.15
196;Cc1ccccc1OP(=O)(Oc2ccccc2C)Oc3ccccc3C;683.15
197;CCOP(=O)(CC)OCC;471.15
198;CCOC(C)(OCC)OCC;418.15
199;CCOP(=O)(OCC)OCC;488.65
201;CCO[Si](C)(C)OCC;387.15
202;C=CC(O)(C)CCC=C(C)C;470.15
205;CCC(Br)C;364.35
206;BrCC(C)C;364.25
207;CCC(C)C;300.95
208;C=CC(=C)C;307.15
209;C#CC(=C)C;305.15
210;NCC(C)C;340.85
211;N#CC(C)C;377.05
212;OCC(C)C;380.95
213;O=CC(C)C;337.65
214;O=CC(=C)C;341.55
215;CCC(Cl)C;341.15
216;ClCC(Cl)C;368.65
218;OCC(Cl)C;406.65
219;NCC(N)C;392.65
220;OCC(N)C;447.15
221;CCC(O)C;372.65
222;CCC(=O)C;352.65
223;C=CC(=O)C;354.55
224;ClCC(=O)C;392.15
225;NCC(O)C;433.15
227;O=CC(=O)C;345.15
228;CCC(Cl)Cl;361.25
229;ClCC(Cl)Cl;386.95
230;ClC=C(Cl)Cl;360.35
231;O=CC(Cl)Cl;362.35
232;CCC(=O)Cl;353.15
233;ClCC(=O)Cl;379.15
234;CCC(=O)N;486.15
235;C=CC(=O)N;465.75
236;ClCC(=O)N;498.15
237;BrCC(=O)O;481.15
238;CCC(=O)O;414.25
239;C=CC(=O)O;414.35
240;ClCC(=O)O;462.45
241;CNC(=O)C;478.15
242;COC(=O)C;329.95
243;OOC(=O)C;383.15
245;CCN(=O)=O;387.15
246;BrC(Br)C(Br)Br;516.65
247;BrC(Br)=C(Br)Br;499.15
248;CC(C)C(C)C;331.05
249;O=C(Cl)C(C)C;365.15
250;O=C(O)C(C)C;427.55
251;ClC(Cl)C(Cl)Cl;419.65
252;ClC(Cl)=C(F)F;292.15
253;O=C(Cl)C(Cl)Cl;381.15
254;O=C(Cl)C(=O)Cl;336.65
255;ClC(F)=C(F)F;245.35
256;O=C(O)C(=C)C;436.15
258;O=C(Cl)N(C)C;440.15
259;O=N(=O)C(C)C;393.35
261;CN1C(C)(C)CCCC1(C)C;420.15
263;Brc1cc(cc(Br)c1O)C(C)(C)c2cc(Br)c(O)c(Br)c2;589.15
264;CC(C)(OOC(C)(C)c1ccccc1)c2ccccc2;669.15
265;CCC(C)(C)c1ccc(O)cc1;535.65
266;COS(=O)(=O)c1ccc(C)cc1;565.15
267;CCOC(=O)C(O)(C)C;423.15
268;CC1=CCC2CC1C2(C)C;429.05
269;CC=C(C)C(=O)O;471.65
270;COC(=O)C(=C)C;373.65
271;CN1CCN(C)C1=O;494.15
272;O=N(=O)c1c(C)cccc1C;499.15
273;O=N(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl;601.15
274;O=C1CCC(=O)N1c2ccccc2;673.15
275;c1cc2cccc3CCc(c1)c23;552.15
276;O=C1CCc2ccccc12;516.15
277;CC1=CNc2ccccc12;539.15
278;O=N(=O)c1cccc(C)c1C;513.15
279;O=N(=O)c1cccc(Cl)c1C;511.15
280;Brc1ccc(Br)c2ccccc12;583.15
281;O=c1c(=O)c2ccccc2c3ccccc13;633.15
282;c1ccc(cc1)c2ccccc2c3ccccc3;605.15
283;O=c1c2ccccc2c(=O)c3ccccc13;650.15
284;CCOC(=O)c1ccccc1C(=O)OCC;568.15
285;CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C;569.15
286;CCCCOC(=O)c1ccccc1C(=O)OCCCC;613.15
287;CCN(CC)c1cccc2ccccc12;558.15
288;c1ccc2c(c1)ccc3ccccc23;613.15
289;c1ccc2c(n1)ccc3ccccc23;625.15
290;O=C1OC(=O)c2ccccc12;568.15
291;CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2;643.15
292;COC(=O)c1ccccc1NC;528.15
293;O=N(=O)c1ccccc1c2ccccc2;593.15
294;COc1ccccc1c2ccccc2;547.15
296;N#Cc1cccc2ccccc12;572.15
297;O=C(O)c1cccc2ccccc12;573.15
298;O=N(=O)c1cccc2ccccc12;577.15
299;c1ccc2c(c1)Cc3ccccc23;568.15
300;c1ccc2c(c1)Nc3ccccc23;627.85
301;O=C=Nc1cccc2ccccc12;542.15
302;CC(C)COC(=O)c1ccccc1O;534.15
303;CC(C)CCOC(=O)c1ccccc1O;551.15
304;CCOC(=O)c1ccccc1C;500.15
305;CCOC(=O)c1ccccc1N;541.15
306;COc1c(Cl)cc(Cl)cc1Cl;514.15
307;O=C1OCc2ccccc12;563.15
308;Nc1cccc(C)c1C;494.65
309;Clc1cccc(N)c1C;518.15
310;Clc1cccc(Cl)c1Cl;491.65
311;Cc1cccc(C)c1N;488.15
312;Clc1cccc(C)c1O;462.15
314;Oc1cccc(O)c1O;582.15
315;ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl;488.15
316;Cc1c(C)c(C)c(C)c(C)c1C;536.55
318;CCOC(=O)C(O)C(O)C(=O)OCC;553.15
319;CCCCOC(=O)C(O)C(O)C(=O)OCCCC;593.15
320;OCC(O)C(O)C(O)CO;489.15
321;Oc1cc(C)c(Cl)c(C)c1;519.15
322;Cc1cc(C)c(N)c(C)c1;505.65
323;Clc1cc(Cl)c(O)c(Cl)c1;519.15
324;CCC(CC)C(=O)O;467.15
327;O=C(C)C1=CC=CS1;486.65
328;Clc1ccccc1C(F)(F)F;425.35
329;Nc1ccccc1C(F)(F)F;460.15
330;Oc1ccccc1C(C)(C)C;496.15
331;O=C(N)c1ccccc1N;573.15
332;CC(C)c1ccccc1O;486.65
333;O=N(=O)c1ccccc1C;495.15
334;O=N(=O)c1ccccc1Cl;518.65
335;O=N(=O)c1ccccc1N;557.15
336;O=N(=O)c1ccccc1O;489.15
337;CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O;605.15
338;O=C(Cl)c1ccccc1C(=O)Cl;554.25
339;O=C(C)OC1CC(C)CCC1C(C)C;500.15
340;Cc1ccc(C)c(c1)N(=O)=O;513.65
341;Clc1ccc(C)c(c1)N(=O)=O;515.15
343;Clc1ccc(Cl)c(c1)N(=O)=O;540.15
344;CC(C)c1cc(Cl)c(C)cc1O;531.65
345;O=N(=O)c1cc(Cl)c(Cl)cc1Cl;561.15
346;COC(=O)c1ccccc1C;488.15
347;CCC(C)c1ccccc1O;501.15
348;Cc1ccc(C(=O)C)c(C)c1;501.15
349;CC1CCC(C(C)C)C(O)C1;485.15
350;CC1=CC(=O)C(CC1)C(C)C;506.15
351;CC1CCC(=C(C)C)C(=O)C1;497.15
352;Cc1ccc(C(C)C)c(O)c1;505.65
353;Cc1ccc(N(=O)=O)c(C)c1;520.15
354;BrCc1ccccc1C;490.15
356;OCc1ccccc1C;497.15
357;CCc1ccccc1Cl;451.55
358;O=Cc1ccccc1Cl;485.05
359;CCc1ccccc1O;477.65
360;O=Cc1ccccc1O;470.15
362;COc1ccccc1O;478.15
364;Cc1cccc2ccccc12;517.85
365;Clc1cccc2ccccc12;532.15
366;Ic1cccc2ccccc12;575.15
367;Oc1cccc2ccccc12;561.15
368;CCC(C(=O)O)c1ccccc1;544.15
369;C1CCC2N(C1)CC3CC2CN4CCCCC34;598.15
370;Nc1ccccc1c2ccccc2;572.15
371;O=C1CCCCC1C2CCCCC2;537.15
372;Oc1ccccc1c2ccccc2;559.15
373;O=C1c2ccccc2Oc3ccccc13;624.15
374;Brc1ccc(cc1)C(=O)c2ccccc2;623.15
376;NC(c1ccccc1)c2ccccc2;577.15
377;OC(c1ccccc1)c2ccccc2;571.15
379;COc1ccccc1OC;479.15
380;C1CCC2CCCCC2C1;428.65
381;c1cnc2ccccc2n1;502.65
382;c1ccc2ccccc2c1;491.05
383;N1CCc2ccccc2C1;505.65
384;c1ccc2cccnc2c1;510.25
386;CCCCN(C(=O)C)c1ccccc1;554.15
387;CC1=C(C)c2ccccc2N1;558.15
388;Cc1ccc2ccccc2c1;514.25
389;Clc1ccc2ccccc2c1;529.15
390;Nc1ccc2ccccc2c1;573.15
391;Sc1ccc2ccccc2c1;561.15
392;Cc1ccc2ncccc2c1;531.75
393;Cc1ccc2ccccc2n1;519.65
394;O=C1C=Cc2ccccc2O1;574.85
395;CCN(CC)C1CCCCC1;466.15
396;CCN(CC)c1ccccc1;489.45
397;CCN(CC)c1cccc(O)c1;549.15
398;c1ccc(cc1)N2CN(CN(C2)c3ccccc3)c4ccccc4;458.15
399;Nc1ccc(cc1Cl)c2ccc(N)c(Cl)c2;641.15
400;O=C(C)CC(=O)Nc1ccc(cc1C)c2ccc(NC(=O)CC(=O)C)c(C)c2;626.55
401;c1ccc(cc1)c2cccc(c2)c3ccccc3;636.15
402;Nc1ccc(cc1)C2=Nc3ccc(C)cc3S2;707.15
403;O=C1C=Cc2cc(C)ccc2O1;577.15
404;OCCN(CC)c1ccccc1;541.15
405;C1CCC(CC1)C2CCCCC2;511.15
406;c1ccc(cc1)c2ccccc2;529.25
407;N1CCN(CC1)c2ccccc2;559.65
408;CCN(Cc1ccccc1)c2ccccc2;561.15
409;Brc1ccc(cc1)c2ccccc2;583.15
411;Oc1ccc(cc1)c2ccccc2;578.15
412;c1ccc2Cc3ccccc3Oc2c1;584.15
413;c1ccc2Sc3ccccc3Nc2c1;644.15
